country_id;application_id;product_id;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7;due_date;first_status_day_date;first_status_time_of_day;paid_date;Variable_8;customer_id;arrived_date;Variable_9;Variable_10;Variable_11;Variable_12;Variable_13;Variable_14;Variable_15;Variable_16;Variable_17;Variable_18;Variable_19;Variable_20;Variable_21;Variable_22;Variable_23;Variable_24;Variable_25;Variable_26;Variable_27;Variable_28;Variable_29;Variable_30;Variable_31;Variable_32;Variable_33;Variable_34;Variable_35;Variable_36;Variable_37;Variable_38;Variable_39;Variable_40;Variable_41;Variable_42;Variable_43;Variable_44;Variable_45;Target
21;24176;21210001;35;1;1;1;N;72;27;07/07/2015;01/06/2015;00:43:22;02/06/2015;100;2970192;01/06/2015 00:43;190;100;100;15;M;RATINGSTUFE M;0;0;0;0;1;NULL;NULL;NULL;1;0;0;0;1;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;0;0;NULL;NULL;14/06/2013;F;1
21;24185;21210001;30;1;1;1;N;25;26;02/07/2015;01/06/2015;07:56:36;02/06/2015;199;2970195;01/06/2015 07:56;199;199;199;15;M;RATINGSTUFE M;4;1;0;0;0;25000;NULL;100;0;0;0;0;4;0;0;0;0;0;0;0;0;0;40147;NULL;100;0;0;NULL;NULL;NULL;M;1
21;24215;21210001;30;1;1;1;N;65;21;02/07/2015;01/06/2015;11:02:04;02/06/2015;100;2970204;01/06/2015 11:02;100;100;100;15;G;RATINGSTUFE G;1;2;0;0;0;499;NULL;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499;NULL;300;0;0;NULL;NULL;NULL;F;0
21;24220;21210001;30;1;1;1;N;65;48;17/07/2015;01/06/2015;11:22:37;17/06/2015;199;2970206;01/06/2015 11:22;199;199;199;15;D;RATINGSTUFE D;0;0;0;0;0;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;0;0;NULL;NULL;NULL;F;1
21;24255;21210001;30;2;1;1;N;4;28;02/07/2015;01/06/2015;15:27:18;02/06/2015;199;2430110;01/06/2015 15:27;600;199;199;15;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;F;1
21;24260;21210001;40;2;1;1;N;65;47;12/07/2015;01/06/2015;16:02:03;02/06/2015;199;2957452;01/06/2015 16:02;199;199;199;0;K;RATINGSTUFE K;8;0;1;0;1;745;1500;NULL;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2970;1500;NULL;0;0;NULL;NULL;NULL;M;1
21;24280;21210001;33;1;1;1;N;65;21;06/07/2015;01/06/2015;16:46:03;03/06/2015;199;2970189;01/06/2015 16:46;199;199;199;15;G;RATINGSTUFE G;0;0;0;0;0;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;0;0;NULL;NULL;NULL;M;0
21;24314;21210001;45;1;1;1;N;40;25;17/08/2015;01/06/2015;23:43:57;03/06/2015;199;2970232;01/06/2015 23:43;190;190;190;15;I;RATINGSTUFE I;7;15;0;0;0;5000;NULL;790;0;0;0;0;17;0;0;0;0;0;0;0;0;0;14449;NULL;7424;0;0;NULL;NULL;NULL;M;1
21;24349;21210001;45;1;1;1;N;10;21;18/07/2015;02/06/2015;10:55:47;03/06/2015;199;2973033;02/06/2015 10:55;199;199;199;15;F;RATINGSTUFE F;0;0;0;0;0;NULL;NULL;NULL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NULL;NULL;NULL;1;0;NULL;NULL;NULL;M;1
21;24368;21210001;45;1;1;1;N;66;30;19/07/2015;02/06/2015;11:47:21;04/06/2015;199;2948280;02/06/2015 11:47;199;199;199;15;M;RATINGSTUFE M;8;1;1;1;0;50000;3000;199;0;0;0;1;4;0;0;0;0;0;0;0;0;0;207969;3000;199;0;0;NULL;NULL;NULL;M;1
